date,age_grp,gender,card_cnt
6/17/2016,20_39,M,1
6/17/2016,40_65,F,1
6/17/2016,40_65,M,2
6/17/2016,66_abv,M,2
6/18/2016,40_65,F,3
6/18/2016,66_abv,F,1
6/18/2016,66_abv,M,1
6/19/2016,20_39,F,1
6/19/2016,40_65,M,1
6/19/2016,66_abv,F,1
6/20/2016,66_abv,F,2
6/21/2016,20_39,F,1
6/22/2016,20_39,F,1
6/22/2016,40_65,F,1
6/22/2016,66_abv,F,1
6/22/2016,66_abv,M,1
6/23/2016,66_abv,M,2
6/24/2016,40_65,F,1
6/24/2016,40_65,M,1
6/24/2016,66_abv,F,2
6/25/2016,40_65,F,3
6/25/2016,66_abv,M,1
6/26/2016,40_65,M,1
6/26/2016,66_abv,F,1
6/26/2016,66_abv,M,1
6/27/2016,40_65,F,3
6/27/2016,66_abv,F,1
6/28/2016,40_65,F,3
6/28/2016,40_65,M,2
6/28/2016,66_abv,F,1
6/28/2016,66_abv,M,1
6/29/2016,20_39,F,1
6/29/2016,40_65,F,1
6/29/2016,40_65,M,1
6/29/2016,66_abv,M,1
6/30/2016,40_65,M,2
6/30/2016,66_abv,F,1
6/30/2016,66_abv,M,1
7/1/2016,20_39,M,1
7/1/2016,40_65,F,1
7/1/2016,40_65,M,1
7/1/2016,66_abv,F,1
7/2/2016,66_abv,F,2
7/2/2016,66_abv,M,1
7/3/2016,40_65,M,1
7/4/2016,40_65,F,2
7/4/2016,40_65,M,1
7/4/2016,66_abv,F,2
7/4/2016,66_abv,M,2
7/5/2016,40_65,F,1
7/5/2016,66_abv,F,2
7/5/2016,66_abv,M,1
7/6/2016,0_19,F,1
7/6/2016,40_65,M,1
7/6/2016,66_abv,M,1
7/7/2016,66_abv,M,1
7/8/2016,40_65,M,1
7/8/2016,66_abv,M,2
7/9/2016,40_65,F,1
7/9/2016,66_abv,F,2
7/10/2016,66_abv,F,2
7/11/2016,40_65,F,3
7/11/2016,40_65,M,1
7/11/2016,66_abv,M,1
7/12/2016,40_65,F,1
7/12/2016,40_65,M,1
7/12/2016,66_abv,F,1
7/12/2016,66_abv,M,1
7/13/2016,40_65,F,1
7/13/2016,66_abv,M,1
7/14/2016,40_65,F,2
7/14/2016,40_65,M,2
7/14/2016,66_abv,F,1
7/15/2016,20_39,F,1
7/15/2016,40_65,F,2
7/15/2016,66_abv,F,3
7/16/2016,40_65,F,1
7/16/2016,40_65,M,2
7/16/2016,66_abv,F,1
7/16/2016,66_abv,M,1
7/17/2016,66_abv,F,2
7/18/2016,40_65,F,1
7/19/2016,40_65,F,2
7/19/2016,40_65,M,2
7/19/2016,66_abv,M,1
7/20/2016,40_65,F,1
7/21/2016,40_65,M,2
7/22/2016,66_abv,F,2
7/22/2016,66_abv,M,1
7/23/2016,40_65,F,1
7/23/2016,40_65,M,2
7/23/2016,66_abv,F,1
7/24/2016,20_39,F,1
7/24/2016,40_65,M,2
7/24/2016,66_abv,F,2
7/25/2016,20_39,F,1
7/25/2016,40_65,F,4
7/25/2016,66_abv,F,2
7/25/2016,66_abv,M,1
7/26/2016,20_39,F,1
7/26/2016,40_65,F,1
7/26/2016,40_65,M,2
7/26/2016,66_abv,F,1
7/27/2016,20_39,M,1
7/27/2016,66_abv,F,2
7/28/2016,40_65,F,2
7/28/2016,66_abv,F,1
7/29/2016,40_65,F,1
7/29/2016,40_65,M,1
7/30/2016,66_abv,F,3
7/31/2016,20_39,F,1
7/31/2016,40_65,F,4
7/31/2016,40_65,M,1
8/1/2016,20_39,M,1
8/1/2016,40_65,F,1
8/2/2016,40_65,M,1
8/2/2016,66_abv,F,2
8/2/2016,66_abv,M,1
8/3/2016,20_39,F,1
8/3/2016,66_abv,F,1
8/4/2016,40_65,M,1
8/4/2016,66_abv,F,2
8/4/2016,66_abv,M,1
8/5/2016,20_39,F,1
8/5/2016,20_39,M,1
8/5/2016,40_65,F,1
8/5/2016,40_65,M,1
8/6/2016,20_39,F,1
8/6/2016,66_abv,F,1
8/6/2016,66_abv,M,1
8/7/2016,40_65,M,1
8/7/2016,66_abv,F,2
8/7/2016,66_abv,M,1
8/8/2016,40_65,F,2
8/8/2016,66_abv,F,1
8/8/2016,66_abv,M,1
8/9/2016,40_65,F,1
8/9/2016,66_abv,F,3
8/10/2016,40_65,F,2
8/10/2016,66_abv,F,1
8/11/2016,20_39,F,1
8/11/2016,40_65,F,1
8/11/2016,66_abv,M,1
8/12/2016,20_39,M,1
8/12/2016,40_65,F,1
8/13/2016,20_39,F,1
8/13/2016,40_65,F,1
8/13/2016,66_abv,F,1
8/14/2016,40_65,F,2
8/14/2016,40_65,M,1
8/15/2016,40_65,F,3
8/15/2016,40_65,M,2
8/15/2016,66_abv,F,1
8/16/2016,20_39,M,1
8/16/2016,40_65,F,2
8/16/2016,66_abv,F,1
8/17/2016,0_19,F,1
8/17/2016,20_39,F,1
8/17/2016,40_65,F,2
8/17/2016,40_65,M,2
8/17/2016,66_abv,F,1
8/18/2016,40_65,M,1
8/18/2016,66_abv,F,1
8/19/2016,20_39,F,1
8/19/2016,40_65,F,1
8/19/2016,40_65,M,2
8/19/2016,66_abv,M,1
8/20/2016,20_39,M,1
8/20/2016,40_65,F,1
8/21/2016,20_39,M,1
8/21/2016,40_65,F,1
8/21/2016,40_65,M,1
8/22/2016,20_39,F,1
8/22/2016,40_65,F,2
8/22/2016,66_abv,F,1
8/24/2016,20_39,F,1
8/24/2016,66_abv,F,2
8/24/2016,66_abv,M,1
8/25/2016,66_abv,F,1
8/26/2016,0_19,F,1
8/26/2016,40_65,F,1
8/26/2016,40_65,M,1
8/27/2016,20_39,M,1
8/27/2016,66_abv,F,1
8/28/2016,20_39,M,1
8/28/2016,40_65,F,1
8/28/2016,66_abv,F,2
8/29/2016,40_65,F,2
8/29/2016,66_abv,F,1
8/30/2016,20_39,F,1
8/30/2016,20_39,M,1
8/30/2016,40_65,F,2
8/30/2016,40_65,M,2
8/30/2016,66_abv,F,1
